Applied Computer Engineering	racunarstvo
Cyber komunikacije i znanost o mreži	
Elektroenergetika	elektrotehnika
Elektroničke i informatičke tehnologije u pomorstvu	
Elektroničko poslovanje i programsko inženjerstvo	racunarstvo
Elektronika	elektrotehnika
Elektrotehničke i komunikacijske tehnologije u pomorstvu	
Elektrotehnika	elektrotehnika
Elektrotehnika i informacijska tehnologija	elektrotehnika
Elektrotehnika i informacijska tehnologija i Računarstvo	racunarstvo
Fizika i informatika	
Forenzika	
Industrijsko inženjerstvo	
Informacijska tehnologija	racunarstvo
Informacijske tehnologije	racunarstvo
Informacijske tehnologije i digitalizacija poslovanja	racunarstvo
Informacijske znanosti	racunarstvo
Informacijski i poslovni sustavi	racunarstvo
Informacijski sustavi i Poslovni sustavi	racunarstvo
Informatika	racunarstvo
Informatika i tehnika	racunarstvo
Internet stvari	racunarstvo
Matematika	
Matematika i informatika	
Matematika i računarstvo	racunarstvo
Multimedija, oblikovanje i primjena	
Multimedijsko računarstvo	racunarstvo
Održavanje računalnih sustava	racunarstvo
Pomorske elektrotehničke i informatičke tehnologije	elektrotehnika
Poslovna informatika	racunarstvo
Poslovna matematika i ekonomija	
Primijenjeno / poslovno računarstvo	racunarstvo
Primijenjeno računarstvo	racunarstvo
Primjena informacijske tehnologije u poslovanju	racunarstvo
Računarstvo	racunarstvo
Računarstvo i informatika	racunarstvo
