Agronomski fakultet Sveučilišta u Zagrebu	agronomija
Akademija dramske umjetnosti Sveučilišta u Zagrebu	umjetnost
Akademija likovnih umjetnosti Sveučilišta u Zagrebu	umjetnost
Akademija primijenjenih umjetnosti	umjetnost
Akademija za umjetnost i kulturu u Osijeku	umjetnost
Arhitektonski fakultet Sveučilišta u Zagrebu	arhitektura
Biotehnički odjel Sveučilišta u Slavonskom Brodu	
DIU Libertas Međunarodno sveučilište	
Edukacijsko-rehabilitacijski fakultet Sveučilišta u Zagrebu	
Edward Bernays Visoka škola za komunikacijski menadžment	
EFFECTUS poduzetnički studiji - visoko učilište	
EFFECTUS studij financije i pravo - visoko učilište	
Ekonomski fakultet Sveučilišta u Osijeku	ekonomija
Ekonomski fakultet Sveučilišta u Rijeci	ekonomija
Ekonomski fakultet Sveučilišta u Splitu	ekonomija
Ekonomski fakultet Sveučilišta u Zagrebu	ekonomija
Europska poslovna škola Zagreb	ekonomija
Fakultet agrobiotehničkih znanosti Osijek	agronomija
Fakultet dentalne medicine Sveučilišta u Rijeci	medicina
Fakultet ekonomije i turizma Dr. Mijo Mirković Sveučilišta u Puli	ekonomija
Fakultet ekonomije i turizma Dr. Mijo Mirković u Puli	ekonomija
Fakultet elektrotehnike i računarstva, Fakultet političkih znanosti, Fakultet prometnih znanosti, Građevinski fakultet, Fakultet kemijskog inženjerstva i tehnologije, Geodetski fakultet, Rudarsko-geološko-naftni fakultet, Filozofski fakultet, Pravni fakultet, Fakultet strojarstva i brodogradnje i Fakultet organizacije i informatike Sveučilišta u Zagrebu	interdisciplinarno
Fakultet elektrotehnike i računarstva i Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu	interdisciplinarno
Fakultet elektrotehnike i računarstva i Sveučilište Algebra (u osnivanju)	
Fakultet elektrotehnike i računarstva Sveučilišta u Zagrebu	
Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek	
Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu	
Fakultet filozofije i religijskih znanosti	
Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu	
Fakultet hrvatskih studija Sveučilišta u Zagrebu	
Fakultet informatike i digitalnih tehnologija Sveučilišta u Rijeci	
Fakultet informatike u Puli	
Fakultet kemijskog inženjerstva i tehnologije Sveučilišta u Zagrebu	
Fakultet organizacije i informatike u Varaždinu Sveučilišta u Zagrebu	
Fakultet političkih znanosti, Filozofski fakultet, Fakultet elektrotehnike i računarstva, Fakultet strojarstva i brodogradnje, Pravni fakultet i Fakultet organizacije i informatike Sveučilišta u Zagrebu	interdisciplinarno
Fakultet političkih znanosti Sveučilišta u Zagrebu	
Fakultet prirodnih znanosti u Puli	
Fakultet prometnih znanosti Sveučilišta u Zagrebu	
Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu	
Fakultet šumarstva i drvne tehnologije	
Fakultet za dentalnu medicinu i zdravstvo Osijek	medicina
Fakultet za fiziku Sveučilišta u Rijeci	
Fakultet za interdisciplinarne, talijanske i kulturološke studije Sveučilišta u Puli	
Fakultet za interdisciplinarne, talijanske i kulturološke studije u Puli	
Fakultet za matematiku Sveučilišta u Rijeci	
Fakultet za  menadžment u turizmu i ugostiteljstvu Sveučilišta u Rijeci	
Fakultet za odgojne i obrazovne znanosti Sveučilišta u Osijeku	
Fakultet za odgojne i obrazovne znanosti Sveučilišta u Puli	
Fakultet za odgojne i obrazovne znanosti u Puli	
Fakultet zdravstvenih studija Sveučilišta u Rijeci	
Farmaceutsko-biokemijski fakultet Sveučilišta u Zagrebu	
Filozofski fakultet Sveučilišta u Osijeku	
Filozofski fakultet Sveučilišta u Puli	
Filozofski fakultet Sveučilišta u Rijeci	
Filozofski fakultet Sveučilišta u Splitu	
Filozofski fakultet Sveučilišta u Zagrebu	
Filozofski fakultet u Puli	
Geodetski fakultet Sveučilišta u Zagrebu	
Geotehnički fakultet Sveučilišta u Zagrebu	
Građevinski fakultet Sveučilišta u Rijeci	
Građevinski fakultet Sveučilišta u Zagrebu	
Građevinski i arhitektonski fakultet Sveučilišta u Osijeku	
Grafički fakultet Sveučilišta u Zagrebu	
Hrvatski studiji Sveučilišta u Zagrebu	
Hrvatsko katoličko sveučilište u Zagrebu	
Hrvatsko vojno učilište, Pomorski fakultet u Splitu i Filozofski fakultet u Splitu	
Istarsko veleučilište	
Katolički bogoslovni fakultet Sveučilišta u Splitu	
Katolički bogoslovni fakultet Sveučilišta u Zagrebu	
Katolički bogoslovni fakultet u Đakovu Sveučilišta u Osijeku	
Kemijsko-tehnološki fakultet Sveučilišta u Splitu	
Kineziološki fakultet Sveučilišta u Osijeku	
Kineziološki fakultet Sveučilišta u Splitu	
Kineziološki fakultet Sveučilišta u Zagrebu	
Libertas Međunarodno sveučilište	
Medicinski fakultet i Kemijsko-tehnološki fakultet Sveučilišta u Splitu	medicina
Medicinski fakultet i Odjel za biotehnologiju Sveučilišta u Rijeci	medicina
Medicinski fakultet Sveučilišta u Osijeku	medicina
Medicinski fakultet Sveučilišta u Rijeci	medicina
Medicinski fakultet Sveučilišta u Splitu	medicina
Medicinski fakultet Sveučilišta u Zagrebu	medicina
Medicinski fakultet u Puli	medicina
Međimursko veleučilište u Čakovcu	
Metalurški fakultet Sveučilišta u Zagrebu	
Muzička akademija Sveučilišta u Puli	glazba
Muzička akademija Sveučilišta u Zagrebu	glazba
Muzička akademija u Puli	glazba
Odjel društveno-humanističkih znanosti Sveučilišta u Slavonskom Brodu	
Odjel za akvakulturu Sveučilišta u Dubrovniku	agronomija
Odjel za anglistiku Sveučilišta u Zadru	
Odjel za arheologiju Sveučilišta u Zadru	
Odjel za biologiju Sveučilišta u Osijeku	
Odjel za biotehnologiju Sveučilišta u Rijeci	
Odjel za ekologiju, agronomiju i akvakulturu Sveučilišta u Zadru	
Odjel za ekonomiju i poslovnu ekonomiju Sveučilišta u Dubrovniku	ekonomija
Odjel za ekonomiju Sveučilišta u Zadru	ekonomija
Odjel za elektrotehniku i računarstvo Sveučilišta u Dubrovniku	
Odjel za etnologiju i antropologiju Sveučilišta u Zadru	
Odjel za filozofiju Sveučilišta u Zadru	
Odjel za fiziku Sveučilišta u Osijeku	
Odjel za fiziku Sveučilišta u Rijeci	
Odjel za francuske i frankofonske studije Sveučilišta u Zadru	jezici
Odjel za geografiju Sveučilišta u Zadru	
Odjel za germanistiku Sveučilišta u Zadru	jezici
Odjel za hispanistiku i iberske studije Sveučilišta u Zadru	jezici
Odjel za humanističke znanosti Sveučilišta u Dubrovniku i Filozofski fakultet Sveučilišta u Zagrebu	interdisciplinarno
Odjel za informacijske znanosti Sveučilišta u Zadru	
Odjel za informatiku Sveučilišta u Rijeci	
Odjel za izobrazbu učitelja i odgojitelja Sveučilišta u Zadru	
Odjel za kemiju Sveučilišta u Osijeku	kemija
Odjel za klasičnu filologiju Sveučilišta u Zadru	
Odjel za komunikologiju Sveučilišta u Dubrovniku	
Odjel za kroatistiku Sveučilišta u Zadru	jezici
Odjel za lingvistiku Sveučilišta u Zadru	jezici
Odjel za matematiku Sveučilišta u Osijeku	matematika
Odjel za matematiku Sveučilišta u Rijeci	matematika
Odjel za nastavničke studije u Gospiću	
Odjel za pedagogiju Sveučilišta u Zadru	
Odjel za povijest Sveučilišta u Zadru	
Odjel za povijest umjetnosti Sveučilišta u Zadru	
Odjel za primijenjenu ekologiju Sveučilišta u Dubrovniku	
Odjel za prirodne i zdravstvene studije Sveučilišta u Puli	
Odjel za psihologiju Sveučilišta u Zadru	
Odjel za rusistiku Sveučilišta u Zadru	jezici
Odjel za sociologiju Sveučilišta u Zadru	
Odjel za stručne studije Sveučilišta u Dubrovniku	
Odjel za talijanistiku Sveučilišta u Zadru	jezici
Odjel za tehničke studije Sveučilišta u Puli	
Odjel za turizam i komunikacijske znanosti Sveučilišta u Zadru	
Odjel za umjetnost i restauraciju Sveučilišta u Dubrovniku	umjetnost
Odjel za zdravstvene studije Sveučilišta u Zadru	
Odjel zdravstvenih studija Sveučilišta u Splitu	
Politehnika Pula - Visoka tehničko-poslovna škola s pravom javnosti	
Pomorski fakultet Sveučilišta u Rijeci	
Pomorski fakultet Sveučilišta u Splitu	
Pomorski odjel Sveučilišta u Dubrovniku	
Pomorski odjel Sveučilišta u Zadru	
Poslovno veleučilište Zagreb	
Pravni fakultet Sveučilišta u Osijeku	
Pravni fakultet Sveučilišta u Rijeci	
Pravni fakultet Sveučilišta u Splitu	
Pravni fakultet Sveučilišta u Zagrebu	
Prehrambeno-biotehnološki fakultet Sveučilišta u Zagrebu	
Prehrambeno tehnološki fakultet Sveučilišta u Osijeku	
Prirodoslovno-matematički fakultet Sveučilišta u Splitu	
Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu	
RIT Croatia	
RRiF Visoka škola za financijski menadžment	
Rudarsko-geološko-naftni fakultet Sveučilišta u Zagrebu	
Stomatološki fakultet Sveučilišta u Zagrebu	
Strojarski fakultet Sveučilišta u Slavonskom Brodu	
Strojarski fakultet u Slavonskom Brodu Sveučilišta u Osijeku	
Šumarski fakultet Sveučilišta u Zagrebu	
Sveučilišni odjel za forenzične znanosti	
Sveučilišni odjel za stručne studije	
Sveučilišni odjel za studije mora Sveučilišta u Splitu	
Sveučilište Jurja Dobrile u Puli	
Sveučilište Sjever	
Sveučilište u Dubrovniku	
Sveučilište u Rijeci	
Sveučilište u Splitu	
Sveučilište u Zadru	
Sveučilište VERN	
Tehnički fakultet Sveučilišta u Rijeci	
Tehnički fakultet u Puli	
Tehnički odjel Sveučilišta u Slavonskom Brodu	
Tehničko veleučilište u Zagrebu	
Tekstilno-tehnološki fakultet Sveučilišta u Zagrebu	
Teološki fakultet 'Matija Vlačić Ilirik' s pravom javnosti	
Teološko-katehetski odjel Sveučilišta u Zadru	
Učiteljski fakultet Sveučilišta u Rijeci	
Učiteljski fakultet Sveučilišta u Zagrebu	
Umjetnička akademija Sveučilišta u Splitu	umjetnost
Umjetnička akademija Sveučilišta u Splitu i PMF Sveučilišta u Splitu	umjetnost
Veleučilište Hrvatsko zagorje Krapina	
"Veleučilište ""Lavoslav Ružička"" u Vukovaru"	
"Veleučilište ""Marko Marulić"" u Kninu"	
"Veleučilište ""Nikola Tesla"" u Gospiću"	
Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ	
Veleučilište u Bjelovaru	
Veleučilište u Karlovcu	
Veleučilište u Požegi	
Veleučilište u Rijeci	
Veleučilište u Šibeniku	
Veleučilište u Slavonskom Brodu	
Veleučilište u Virovitici	
Veleučilište Velika Gorica	
Veleučilište VERN	
Veterinarski fakultet Sveučilišta u Zagrebu	
Visoka policijska škola	
Visoka poslovna škola Libertas	
Visoka poslovna škola PAR	
Visoka škola ARCA	
Visoka škola Ivanić-Grad	
Visoka škola Ivanić-Grad (u osnivanju)	
Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld	
Visoka škola menadžmenta i sigurnosti SECURUS (u osnivanju)	
Visoka škola za ekonomiju, poduzetništvo i upravljanje Nikola Šubić Zrinski	ekonomija
Visoka škola za informacijske tehnologije u Zagrebu	
Visoka škola za inspekcijski i kadrovski menadžment	
"Visoka škola za menadžment i dizajn ""Aspira"""	
Visoka škola za menadžment u turizmu i informatici u Virovitici	
Visoka škola za sigurnost, s pravom javnosti u Zagrebu	
Visoko evanđeosko teološko učilište u Osijeku	
Visoko gospodarsko učilište u Križevcima	
Visoko učilište Algebra	
Zagrebačka škola ekonomije i managementa	ekonomija
Zdravstveno veleučilište u Zagrebu	
