Europska poslovna škola Zagreb	Europska poslovna škola Zagreb
Fakultet filozofije i religijskih znanosti	Fakultet filozofije i religijskih znanosti
Odjel za ekologiju, agronomiju i akvakulturu Sveučilišta u Zadru	Odjel za ekologiju, agronomiju i akvakulturu Sveučilišta u Zadru
Pomorski fakultet Sveučilišta u Splitu	Pomorski fakultet Sveučilišta u Splitu
Odjel za filozofiju Sveučilišta u Zadru	Odjel za filozofiju Sveučilišta u Zadru
Visoka škola za ekonomiju, poduzetništvo i upravljanje Nikola Šubić Zrinski	Visoka škola za ekonomiju, poduzetništvo i upravljanje Nikola Šubić Zrinski
Arhitektonski fakultet Sveučilišta u Zagrebu	Arhitektonski fakultet Sveučilišta u Zagrebu
Odjel za biotehnologiju Sveučilišta u Rijeci	Odjel za biotehnologiju Sveučilišta u Rijeci
Odjel za klasičnu filologiju Sveučilišta u Zadru	Odjel za klasičnu filologiju Sveučilišta u Zadru
Sveučilišni odjel za stručne studije	Sveučilišni odjel za stručne studije
Filozofski fakultet Sveučilišta u Rijeci	Filozofski fakultet Sveučilišta u Rijeci
Sveučilište Jurja Dobrile u Puli	Sveučilište Jurja Dobrile u Puli
Fakultet hrvatskih studija Sveučilišta u Zagrebu	Fakultet hrvatskih studija Sveučilišta u Zagrebu
Odjel za biologiju Sveučilišta u Osijeku	Odjel za biologiju Sveučilišta u Osijeku
Odjel za fiziku Sveučilišta u Osijeku	Odjel za fiziku Sveučilišta u Osijeku
Visoka škola za menadžment i dizajn "Aspira"	Visoka škola za menadžment i dizajn "Aspira"
Umjetnička akademija Sveučilišta u Splitu i PMF Sveučilišta u Splitu	Umjetnička akademija Sveučilišta u Splitu i PMF Sveučilišta u Splitu
Veleučilište Velika Gorica	Veleučilište Velika Gorica
Fakultet organizacije i informatike u Varaždinu Sveučilišta u Zagrebu	Fakultet organizacije i informatike u Varaždinu Sveučilišta u Zagrebu
Fakultet elektrotehnike i računarstva, Fakultet političkih znanosti, Fakultet prometnih znanosti, Građevinski fakultet, Fakultet kemijskog inženjerstva i tehnologije, Geodetski fakultet, Rudarsko-geološko-naftni fakultet, Filozofski fakultet, Pravni fakultet, Fakultet strojarstva i brodogradnje i Fakultet organizacije i informatike Sveučilišta u Zagrebu	Fakultet elektrotehnike i računarstva, Fakultet političkih znanosti, Fakultet prometnih znanosti, Građevinski fakultet, Fakultet kemijskog inženjerstva i tehnologije, Geodetski fakultet, Rudarsko-geološko-naftni fakultet, Filozofski fakultet, Pravni fakultet, Fakultet strojarstva i brodogradnje i Fakultet organizacije i informatike Sveučilišta u Zagrebu
Poslovno veleučilište Zagreb	Poslovno veleučilište Zagreb
Sveučilišni odjel za forenzične znanosti	Sveučilišni odjel za forenzične znanosti
Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu	Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu
Odjel za umjetnost i restauraciju Sveučilišta u Dubrovniku	Odjel za umjetnost i restauraciju Sveučilišta u Dubrovniku
Ekonomski fakultet Sveučilišta u Rijeci	Ekonomski fakultet Sveučilišta u Rijeci
Sveučilište u Zadru	Sveučilište u Zadru
Veleučilište u Bjelovaru	Veleučilište u Bjelovaru
Visoka škola ARCA	Visoka škola ARCA
Fakultet dentalne medicine Sveučilišta u Rijeci	Fakultet dentalne medicine Sveučilišta u Rijeci
Odjel za komunikologiju Sveučilišta u Dubrovniku	Odjel za komunikologiju Sveučilišta u Dubrovniku
Odjel za kemiju Sveučilišta u Osijeku	Odjel za kemiju Sveučilišta u Osijeku
Visoka škola za informacijske tehnologije u Zagrebu	Visoka škola za informacijske tehnologije u Zagrebu
Filozofski fakultet Sveučilišta u Osijeku	Filozofski fakultet Sveučilišta u Osijeku
Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu	Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu
Medicinski fakultet i Odjel za biotehnologiju Sveučilišta u Rijeci	Medicinski fakultet i Odjel za biotehnologiju Sveučilišta u Rijeci
Fakultet za interdisciplinarne, talijanske i kulturološke studije u Puli	Fakultet za interdisciplinarne, talijanske i kulturološke studije u Puli
Veleučilište "Marko Marulić" u Kninu	Veleučilište "Marko Marulić" u Kninu
Fakultet prometnih znanosti Sveučilišta u Zagrebu	Fakultet prometnih znanosti Sveučilišta u Zagrebu
Pravni fakultet Sveučilišta u Zagrebu	Pravni fakultet Sveučilišta u Zagrebu
Učiteljski fakultet Sveučilišta u Rijeci	Učiteljski fakultet Sveučilišta u Rijeci
Odjel zdravstvenih studija Sveučilišta u Splitu	Odjel zdravstvenih studija Sveučilišta u Splitu
Odjel za talijanistiku Sveučilišta u Zadru	Odjel za talijanistiku Sveučilišta u Zadru
Hrvatsko katoličko sveučilište u Zagrebu	Hrvatsko katoličko sveučilište u Zagrebu
Odjel za informatiku Sveučilišta u Rijeci	Odjel za informatiku Sveučilišta u Rijeci
RRiF Visoka škola za financijski menadžment	RRiF Visoka škola za financijski menadžment
Filozofski fakultet u Puli	Filozofski fakultet u Puli
Odjel za germanistiku Sveučilišta u Zadru	Odjel za germanistiku Sveučilišta u Zadru
Odjel za tehničke studije Sveučilišta u Puli	Odjel za tehničke studije Sveučilišta u Puli
Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ	Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ
Visoko gospodarsko učilište u Križevcima	Visoko gospodarsko učilište u Križevcima
Hrvatsko vojno učilište, Pomorski fakultet u Splitu i Filozofski fakultet u Splitu	Hrvatsko vojno učilište, Pomorski fakultet u Splitu i Filozofski fakultet u Splitu
Odjel za arheologiju Sveučilišta u Zadru	Odjel za arheologiju Sveučilišta u Zadru
Odjel za povijest umjetnosti Sveučilišta u Zadru	Odjel za povijest umjetnosti Sveučilišta u Zadru
Sveučilišni odjel za studije mora Sveučilišta u Splitu	Sveučilišni odjel za studije mora Sveučilišta u Splitu
Pravni fakultet Sveučilišta u Splitu	Pravni fakultet Sveučilišta u Splitu
Fakultet za odgojne i obrazovne znanosti Sveučilišta u Osijeku	Fakultet za odgojne i obrazovne znanosti Sveučilišta u Osijeku
Fakultet informatike i digitalnih tehnologija Sveučilišta u Rijeci	Fakultet informatike i digitalnih tehnologija Sveučilišta u Rijeci
Odjel za francuske i frankofonske studije Sveučilišta u Zadru	Odjel za francuske i frankofonske studije Sveučilišta u Zadru
Odjel za stručne studije Sveučilišta u Dubrovniku	Odjel za stručne studije Sveučilišta u Dubrovniku
