Veleučilište u Karlovcu	Veleučilište u Karlovcu
Visoko učilište Algebra	Visoko učilište Algebra
Zagrebačka škola ekonomije i managementa	Zagrebačka škola ekonomije i managementa
Visoka škola za informacijske tehnologije u Zagrebu	Visoka škola za informacijske tehnologije u Zagrebu
Sveučilište u Zadru	Sveučilište u Zadru
Sveučilište Sjever	Sveučilište Sjever
Veleučilište u Bjelovaru	Veleučilište u Bjelovaru
Visoka škola za inspekcijski i kadrovski menadžment	Visoka škola za inspekcijski i kadrovski menadžment
Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld-u tijeku je pripajanje Libertas Međunarodnom sveučilištu	Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld-u tijeku je pripajanje Libertas Međunarodnom sveučilištu
Međimursko veleučilište u Čakovcu	Međimursko veleučilište u Čakovcu
Hrvatsko katoličko sveučilište u Zagrebu	Hrvatsko katoličko sveučilište u Zagrebu
Visoka škola za sigurnost, s pravom javnosti u Zagrebu	Visoka škola za sigurnost, s pravom javnosti u Zagrebu
Europska poslovna škola Zagreb	Europska poslovna škola Zagreb
Sveučilište u Slavonskom Brodu	Sveučilište u Slavonskom Brodu
Politehnika Pula – Visoka tehničko-poslovna škola s pravom javnosti	Politehnika Pula – Visoka tehničko-poslovna škola s pravom javnosti
Poslovno veleučilište Zagreb	Poslovno veleučilište Zagreb
DIU Libertas Međunarodno sveučilište	DIU Libertas Međunarodno sveučilište
Sveučilište Josipa Jurja Strossmayera u Osijeku	Sveučilište Josipa Jurja Strossmayera u Osijeku
Visoka škola za menadžment u turizmu i informatici u Virovitici	Visoka škola za menadžment u turizmu i informatici u Virovitici
Visoka poslovna škola PAR	Visoka poslovna škola PAR
Edward Bernays Visoka škola za komunikacijski menadžment	Edward Bernays Visoka škola za komunikacijski menadžment
Visoka škola ARCA	Visoka škola ARCA
Visoko evanđeosko teološko učilište u Osijeku	Visoko evanđeosko teološko učilište u Osijeku
Istarsko veleučilište	Istarsko veleučilište
Sveučilište Jurja Dobrile u Puli	Sveučilište Jurja Dobrile u Puli
EFFECTUS poduzetnički studiji - visoko učilište	EFFECTUS poduzetnički studiji - visoko učilište
Sveučilište u Splitu	Sveučilište u Splitu
Visoka škola za ekonomiju, poduzetništvo i upravljanje Nikola Šubić Zrinski	Visoka škola za ekonomiju, poduzetništvo i upravljanje Nikola Šubić Zrinski
Veleučilište "Nikola Tesla" u Gospiću	Veleučilište "Nikola Tesla" u Gospiću
Sveučilište u Zagrebu	Sveučilište u Zagrebu
Veleučilište u Rijeci	Veleučilište u Rijeci
Visoka policijska škola	Visoka policijska škola
Veleučilište u Virovitici	Veleučilište u Virovitici
RIT Croatia	RIT Croatia
Veleučilište Hrvatsko zagorje Krapina	Veleučilište Hrvatsko zagorje Krapina
Veleučilište Velika Gorica	Veleučilište Velika Gorica
Visoka škola Ivanić-Grad	Visoka škola Ivanić-Grad
Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld	Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld
Veleučilište u Slavonskom Brodu	Veleučilište u Slavonskom Brodu
EFFECTUS studij financije i pravo - visoko učilište	EFFECTUS studij financije i pravo - visoko učilište
Tehničko veleučilište u Zagrebu	Tehničko veleučilište u Zagrebu
Sveučilište VERN	Sveučilište VERN
Visoka škola za menadžment i dizajn "Aspira"	Visoka škola za menadžment i dizajn "Aspira"
Veleučilište u Šibeniku	Veleučilište u Šibeniku
Zdravstveno veleučilište u Zagrebu	Zdravstveno veleučilište u Zagrebu
Libertas Međunarodno sveučilište	Libertas Međunarodno sveučilište
Veleučilište u Požegi	Veleučilište u Požegi
Sveučilište u Dubrovniku	Sveučilište u Dubrovniku
Veleučilište "Marko Marulić" u Kninu	Veleučilište "Marko Marulić" u Kninu
RRiF Visoka škola za financijski menadžment	RRiF Visoka škola za financijski menadžment
Visoka poslovna škola Libertas	Visoka poslovna škola Libertas
Sveučilište u Rijeci	Sveučilište u Rijeci
Veleučilište "Lavoslav Ružička" u Vukovaru	Veleučilište "Lavoslav Ružička" u Vukovaru
Veleučilište VERN	Veleučilište VERN
Visoko gospodarsko učilište u Križevcima	Visoko gospodarsko učilište u Križevcima
Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ	Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ
