[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Poslovna ekonomija', 'Zagreb', 690.0, 3126.0, 1053.0, 1.53, 0, 685.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet elektrotehnike i računarstva Sveučilišta u Zagrebu', 'Redovni', 'Elektrotehnika i informacijska tehnologija i Računarstvo', 'Zagreb', 650.0, 2015.0, 899.0, 1.38, 0, 652.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Zagrebu', 'Redovni', 'Pravo', 'Zagreb', 602.0, 1259.0, 681.0, 1.13, 0, 600.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu', 'Redovni', 'Strojarstvo', 'Zagreb', 348.0, 1764.0, 483.0, 1.39, 0, 350.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Medicinski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Medicina', 'Zagreb', 300.0, 917.0, 566.0, 1.89, 0, 300.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet prometnih znanosti Sveučilišta u Zagrebu', 'Redovni', 'Promet', 'Zagreb', 297.0, 1027.0, 261.0, 0.88, 0, 296.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Splitu', 'Redovni', 'Pravo', 'Split', 275.0, 1138.0, 319.0, 1.16, 0, 276.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet organizacije i informatike u Varaždinu Sveučilišta u Zagrebu', 'Redovni', 'Informacijski sustavi i Poslovni sustavi', 'Varaždin', 270.0, 636.0, 267.0, 0.99, 0, 267.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Splitu', 'Redovni', 'Poslovna ekonomija', 'Split', 260.0, 691.0, 251.0, 0.97, 0, 260.0]
[2014, 'l', 'Sveučilište Jurja Dobrile u Puli', 'Javna sveučilišta', 'Fakultet ekonomije i turizma Dr. Mijo Mirković Sveučilišta u Puli', 'Redovni', 'Poslovna ekonomija; smjerovi: Financijski management, Marketinško upravljanje, Management i poduzetništvo, Turizam; Informatički menadžment', 'Pula', 255.0, 573.0, 201.0, 0.79, 0, 250.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Kineziološki fakultet Sveučilišta u Zagrebu', 'Redovni', 'Kineziologija', 'Zagreb', 235.0, 874.0, 521.0, 2.22, 0, 231.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Osijeku', 'Redovni', 'Ekonomska politika i regionalni razvitak,  Financijski menadžment, Marketing, Menadžment, Poduzetništvo, Poslovna informatika ', 'Osijek', 205.0, 944.0, 355.0, 1.73, 0, 201.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Osijeku', 'Redovni', 'Pravo', 'Osijek', 202.0, 702.0, 209.0, 1.03, 0, 201.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Zagrebu', 'Izvanredni', 'Poslovna ekonomija (izvanredni)', 'Zagreb', 200.0, 895.0, 151.0, 0.76, 0, 200.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Rijeci', 'Redovni', 'Pravo', 'Rijeka', 200.0, 650.0, 180.0, 0.9, 0, 198.0]
